[2018-03-20 09:23:51,912] - logger.py] - INFO: 所有资讯，共有28条
[2018-03-20 09:24:14,102] - logger.py] - INFO: 这是课程资讯，共有7条
[2018-03-20 09:24:33,807] - logger.py] - INFO: 注册失败，手机号17688169411已被注册！
[2018-03-20 09:24:34,291] - logger.py] - INFO: 注册失败，手机号不能为空！
[2018-03-20 09:24:34,713] - logger.py] - INFO: 注册失败，密码不能为空！
[2018-03-20 09:24:34,963] - logger.py] - INFO: 注册失败，手注册类型不能为空！
[2018-03-20 09:24:35,369] - logger.py] - INFO: 注册失败，邮箱不能为空！
[2018-03-20 09:24:35,463] - logger.py] - INFO: 注册失败，用户名不能为空！
[2018-03-20 09:24:35,588] - logger.py] - INFO: 手机号为17688169411的用户，登录成功!
[2018-03-20 09:24:36,213] - logger.py] - INFO: 退出登录成功！
[2018-03-20 09:24:36,666] - logger.py] - INFO: 进入PHP考场成功!
[2018-03-20 09:24:37,573] - logger.py] - INFO: 进入web考场成功!
[2018-03-20 09:24:37,979] - logger.py] - INFO: 进入C++考场成功!
[2018-03-20 09:24:38,432] - logger.py] - INFO: 首页请求成功！
[2018-03-20 09:24:38,901] - logger.py] - INFO: 首页存在C++考场！
[2018-03-20 09:24:38,901] - logger.py] - INFO: 首页存在web考场！
[2018-03-20 09:24:38,901] - logger.py] - INFO: 首页存在PHP考场！
[2018-03-20 09:24:39,010] - logger.py] - INFO: 进入PHP考场成功！
[2018-03-20 09:24:39,510] - logger.py] - INFO: 进入web考场成功！
[2018-03-20 09:24:40,808] - logger.py] - INFO: 进入C++考场成功！
[2018-03-20 09:24:41,292] - logger.py] - INFO: 这是考试资讯，共有21条
[2018-03-20 09:24:41,886] - logger.py] - INFO: 这是课程资讯，共有7条
[2018-03-20 09:24:42,120] - logger.py] - INFO: 所有资讯，共有28条
[2018-03-20 15:22:37,487] - logger.py] - INFO: 用户信息获取成功，当前用户为：liyihang
[2018-03-20 15:23:09,251] - logger.py] - INFO: 用户信息获取成功，当前用户为：liyihang
[2018-03-20 15:23:20,782] - logger.py] - INFO: 注册失败，手机号17688169411已被注册！
[2018-03-20 15:23:20,892] - logger.py] - INFO: 注册失败，手机号不能为空！
[2018-03-20 15:23:21,518] - logger.py] - INFO: 注册失败，密码不能为空！
[2018-03-20 15:23:22,251] - logger.py] - INFO: 注册失败，手注册类型不能为空！
[2018-03-20 15:23:22,487] - logger.py] - INFO: 注册失败，邮箱不能为空！
[2018-03-20 15:23:22,767] - logger.py] - INFO: 注册失败，用户名不能为空！
[2018-03-20 15:23:22,892] - logger.py] - INFO: 手机号为17688169411的用户，登录成功!
[2018-03-20 15:23:22,987] - logger.py] - INFO: 退出登录成功！
[2018-03-20 15:23:23,235] - logger.py] - INFO: 进入PHP考场成功!
[2018-03-20 15:23:23,384] - logger.py] - INFO: 进入web考场成功!
[2018-03-20 15:23:23,612] - logger.py] - INFO: 进入C++考场成功!
[2018-03-20 15:23:24,112] - logger.py] - INFO: 首页请求成功！
[2018-03-20 15:23:24,347] - logger.py] - INFO: 首页存在C++考场！
[2018-03-20 15:23:24,362] - logger.py] - INFO: 首页存在web考场！
[2018-03-20 15:23:24,362] - logger.py] - INFO: 首页存在PHP考场！
[2018-03-20 15:23:24,836] - logger.py] - INFO: 进入PHP考场成功！
[2018-03-20 15:23:24,931] - logger.py] - INFO: 进入web考场成功！
[2018-03-20 15:23:25,049] - logger.py] - INFO: 进入C++考场成功！
[2018-03-20 15:23:25,407] - logger.py] - INFO: 这是考试资讯，共有21条
[2018-03-20 15:23:25,720] - logger.py] - INFO: 这是课程资讯，共有7条
[2018-03-20 15:23:25,959] - logger.py] - INFO: 所有资讯，共有28条
[2018-03-20 15:23:26,376] - logger.py] - INFO: 用户信息获取成功，当前用户为：liyihang
